"constructorId","constructor","constructor_nationality","raceId","constructor_points","constructor_wins","circuitId","race_name","year"
1,"McLaren","British",1087,95,0,13,"Belgian Grand Prix",2022
1,"McLaren","British",44,128,5,9,"British Grand Prix",2007
1,"McLaren","British",437,24,2,30,"South African Grand Prix",1984
1,"McLaren","British",461,29,1,10,"German Grand Prix",1983
1,"McLaren","British",483,0,0,43,"United States Grand Prix West",1981
1,"McLaren","British",45,138,5,20,"European Grand Prix",2007
1,"McLaren","British",1011,8,0,3,"Bahrain Grand Prix",2019
1,"McLaren","British",1047,202,0,24,"Abu Dhabi Grand Prix",2020
1,"McLaren","British",896,93,0,68,"Indian Grand Prix",2013
1,"McLaren","British",1128,184,1,6,"Monaco Grand Prix",2024
1,"McLaren","British",506,7,0,10,"German Grand Prix",1980
1,"McLaren","British",11,41,1,12,"European Grand Prix",2009
1,"McLaren","British",897,95,0,24,"Abu Dhabi Grand Prix",2013
1,"McLaren","British",975,0,0,7,"Canadian Grand Prix",2017
1,"McLaren","British",116,76,2,20,"European Grand Prix",2003
1,"McLaren","British",570,43,3,70,"Austrian Grand Prix",1976
1,"McLaren","British",507,7,0,70,"Austrian Grand Prix",1980
1,"McLaren","British",79,63,3,19,"United States Grand Prix",2005
1,"McLaren","British",864,98,1,4,"Spanish Grand Prix",2012
1,"McLaren","British",12,44,1,13,"Belgian Grand Prix",2009
1,"McLaren","British",305,10,1,33,"United States Grand Prix",1991
1,"McLaren","British",151,66,3,9,"British Grand Prix",2001
1,"McLaren","British",940,17,0,22,"Japanese Grand Prix",2015
1,"McLaren","British",1013,18,0,73,"Azerbaijan Grand Prix",2019
1,"McLaren","British",898,102,0,69,"United States Grand Prix",2013
1,"McLaren","British",117,85,2,8,"French Grand Prix",2003
1,"McLaren","British",47,148,6,5,"Turkish Grand Prix",2007
1,"McLaren","British",865,108,1,6,"Monaco Grand Prix",2012
1,"McLaren","British",390,31,2,13,"Belgian Grand Prix",1987
1,"McLaren","British",130,24,1,6,"Monaco Grand Prix",2002
1,"McLaren","British",1091,129,0,15,"Singapore Grand Prix",2022
1,"McLaren","British",13,47,1,14,"Italian Grand Prix",2009
1,"McLaren","British",977,2,0,70,"Austrian Grand Prix",2017
1,"McLaren","British",439,33,3,21,"San Marino Grand Prix",1984
1,"McLaren","British",14,59,2,15,"Singapore Grand Prix",2009
1,"McLaren","British",118,95,2,9,"British Grand Prix",2003
1,"McLaren","British",306,24,2,18,"Brazilian Grand Prix",1991
1,"McLaren","British",508,8,0,39,"Dutch Grand Prix",1980
1,"McLaren","British",221,44,2,20,"Luxembourg Grand Prix",1997
1,"McLaren","British",1131,268,1,70,"Austrian Grand Prix",2024
1,"McLaren","British",370,141,10,22,"Japanese Grand Prix",1989
1,"McLaren","British",571,52,4,39,"Dutch Grand Prix",1976
1,"McLaren","British",899,122,0,18,"Brazilian Grand Prix",2013
1,"McLaren","British",440,42,4,41,"French Grand Prix",1984
1,"McLaren","British",15,65,2,22,"Japanese Grand Prix",2009
1,"McLaren","British",153,72,3,11,"Hungarian Grand Prix",2001
1,"McLaren","British",517,5,0,40,"Belgian Grand Prix",1979
1,"McLaren","British",509,8,0,21,"Italian Grand Prix",1980
1,"McLaren","British",1055,65,0,4,"Spanish Grand Prix",2021
1,"McLaren","British",1132,295,1,9,"British Grand Prix",2024
1,"McLaren","British",313,70,4,10,"German Grand Prix",1991
1,"McLaren","British",943,27,0,32,"Mexican Grand Prix",2015
1,"McLaren","British",441,46.5,5,6,"Monaco Grand Prix",1984
1,"McLaren","British",392,35,2,37,"Detroit Grand Prix",1987
1,"McLaren","British",16,71,2,18,"Brazilian Grand Prix",2009
1,"McLaren","British",901,43,0,2,"Malaysian Grand Prix",2014
1,"McLaren","British",49,192,7,13,"Belgian Grand Prix",2007
1,"McLaren","British",120,115,2,11,"Hungarian Grand Prix",2003
1,"McLaren","British",572,52,4,14,"Italian Grand Prix",1976
1,"McLaren","British",222,47,2,22,"Japanese Grand Prix",1997
1,"McLaren","British",594,35,3,50,"Belgian Grand Prix",1974
